concept,qualifier,context,type
number,work,location,integer
country,postal,bank,string
employment,social,product,boolean
employment,work,school,boolean
termination,address,store,date
city,order,organization,string
salary,employee,organization,float
name,customer,school,string
progress,manager,store,string
ID,manager,employee,integer
name,employee,product,string
progress,employee,location,enumeration
ID,user,employee,integer
progress,social,employee,string
day,ID,location,
year,passport,customer,
exit,employment,store,
area,postal,organization,string
ID,termination,bank,integer
birth,termination,location,
year,postal,shape,
city,ID,location,string
area,address,government,string
name,,government,string
exit,termination,university,
month,geographical,customer,
city,address,location,string
anniversary,postal,organization,date
progress,employee,customer,string
manager_status,anniversary,organization,boolean
year,user,school,
marriage,geographical,customer,date
month,passport,user,
status,customer,user,string
country,ID,university,string
name,work,customer,string
progress,product,user,string
level,work,user,string
marriage,employment,shape,date
area,employee,government,string
zip,employment,bank,integer
progress,user,employee,string
termination,product,location,date
termination,order,user,date
email,social,employee,string
anniversary,user,employee,date
city,address,customer,string
height,geographical,customer,float
gender,product,location,string
joining,passport,government,date
email,ID,store,string
manager_status,passport,school,boolean
number,geographical,employee,integer
level,marriage,school,string
passport,anniversary,government,string
weight,customer,university,float
anniversary,anniversary,bank,date
status,postal,location,enumeration
joining,product,shape,date
email,anniversary,government,string
ID,employment,user,integer
anniversary,social,product,date
date,passport,store,date
progress,anniversary,school,string
progress,address,university,string
city,employee,organization,string
termination,product,school,date
city,manager,store,string
zip,user,employee,integer
phone,social,school,string
height,manager,shape,float
employee_number,anniversary,government,integer
manager_status,postal,user,boolean
time,ID,user,string
gender,marriage,store,string
email,work,organization,string
country,employee,store,string
status,ID,customer,string
employee_number,,employee,integer
anniversary,employee,government,date
month,termination,school,
number,geographical,organization,integer
country,work,bank,string
manager_status,termination,shape,boolean
exit,geographical,customer,
termination,ID,customer,date
progress,passport,university,string
area,product,product,string
status,anniversary,store,string
country,passport,university,string
status,customer,bank,string
passport,employee,organization,string
progress,anniversary,location,enumeration
exit,employee,shape,
marriage,employment,organization,date
grade,employment,employee,string
employee_number,address,shape,integer
city,anniversary,customer,string
class,address,product,string
year,manager,customer,
level,order,employee,string
weight,social,location,float
ID,address,bank,integer
height,marriage,university,float
marriage,manager,customer,date
number,geographical,location,integer
email,geographical,government,string
gender,termination,product,string
gender,employment,shape,string
weight,employee,bank,float
salary,user,organization,float
height,work,location,float
anniversary,geographical,product,date
marriage,user,bank,date
exit,manager,location,
year,user,government,
email,user,user,string
weight,anniversary,employee,float
year,geographical,user,
grade,order,bank,string
joining,work,user,date
manager_status,customer,location,boolean
city,product,product,string
city,passport,location,string
gender,,user,string
name,employment,employee,string
gender,employment,employee,string
manager_status,passport,government,boolean
status,employee,location,enumeration
class,ID,bank,string
ID,ID,shape,integer
time,passport,employee,string
area,customer,school,string
level,product,employee,string
salary,social,store,float
anniversary,,government,date
anniversary,anniversary,shape,date
phone,anniversary,university,string
manager_status,,school,boolean
grade,geographical,store,string
passport,order,employee,string
